feature,mean_all,mean_hits,delta
lat,-32.60156608548405,,
lon,145.0124306371812,,
score,5169373.7909266865,,
msl,102965.05329113177,,
msl_d1h,0.049523514304431276,,
msl_d3h,0.29997820422524923,,
zeta,9.457242143879893e-06,,
div,4.0048511370514315e-06,,
S,2.4591783998762895e-05,,
zeta_mean3h,9.2707875097977e-06,,
zeta_std3h,3.8238639388176e-06,,
div_mean3h,3.83132912054032e-06,,
div_std3h,5.1183309710854466e-06,,
S_mean3h,2.4679321638945528e-05,,
S_std3h,4.231847756483181e-06,,
shear10_def,0.011951477514480833,,
shear_proxy,1.046506632539745e-06,,
S3,0.012016899415103621,,
dS_dt,-9.890947914394309e-08,,
drelax_dt,0.0,,
dagree_dt,0.006458277284387197,,
msl_grad,0.2143810104665653,,
ilat,9.593735658063784,,
ilon,80.04972254872482,,
u10,-3.834569489381567,,
v10,1.6318069566260336,,
wspd,5.163691427330233,,
agree,0.5674234653139149,,
t2m,288.7783020497585,,
number,0.0,,
expver,1.0,,
number_r,0.0,,
expver_r,1.0,,
shear_low,2.59831669664971,,
shear_deep,8.126751710437327,,
gka_kappa,9.457242143879893e-06,,
gka_tau,-4.0048511370514315e-06,,
gka_parity_eta,0.0,,
gka_A_overlap,0.5674234653139149,,
gka_F,0.47637023081018526,,
gka_msl_nd,4.42724720839907,,
gka_knee_ratio,0.0028942947726200885,,
gka_chirality,9.457242143879893e-06,,
gka_Q,5.515446858770443e-11,,
gka_vortdiv_ratio,0.3207455843574984,,
gka_dir_var,0.590845,,
