,lat,lon,score,msl,msl_d1h,msl_d3h,zeta,div,S,zeta_mean3h,zeta_std3h,div_mean3h,div_std3h,S_mean3h,S_std3h,shear10_def,shear_proxy,S3,dS_dt,drelax_dt,dagree_dt,msl_grad,ilat,ilon,u10,v10,wspd,agree,t2m,number,expver,number_r,expver_r,shear_low,shear_deep,gka_kappa,gka_tau,gka_parity_eta,gka_A_overlap,gka_F,gka_msl_nd,gka_knee_ratio,gka_chirality,gka_Q,gka_vortdiv_ratio,gka_dir_var
lat,1.0,-0.20347038245754756,-0.27467207890458567,-0.2732146244590062,0.05791484170825937,0.141194935164344,-0.1144564354246428,-0.0069581442703120795,-0.034341387090881303,-0.12220390316003144,0.022027249483620486,-0.010027007619392118,0.04029078269107104,-0.03312698149624121,0.050218317997415565,-0.020613797067361415,-0.15570446433706522,-0.017647374951910835,-0.006206262757217256,,0.015874013703109906,0.10269315502682175,0.9999999999999979,-0.20347038245754068,0.06238986484588672,0.06494592216970149,-0.1505763122481391,-0.15836857721424483,-0.10890134360193253,,,,,0.3659024608635007,0.11559849468620043,-0.1144564354246428,0.0069581442703120795,,-0.15836857721424483,0.18105030805336705,-0.2732146119663284,-0.05125128552394192,-0.1144564354246428,0.0779393671836846,-0.15483595283846605,
lon,-0.20347038245754756,1.0,0.10167863585234464,0.0034432347072797438,-0.019162553636596552,-0.054478150139765785,0.1401094710205853,-0.040484245339600995,0.007964584113420712,0.14896129750599288,-0.017701551450428576,-0.039518717390550774,0.03349056602820816,0.003902837511252381,-0.006638771371522117,0.0037857757844158044,0.03673436718242097,0.0006413618005503497,0.012620174925897194,,-0.008368237189070806,0.4231611832753553,-0.2034703824575358,1.0000000000000009,-0.5418704412075235,0.14288969391648723,0.541193036680316,0.06111165719654558,0.36736296001130325,,,,,-0.18411469748913495,-0.3083062012479221,0.1401094710205853,0.040484245339600995,,0.06111165719654558,-0.05414589712163672,0.0034426486692748478,0.017192183672225497,0.1401094710205853,-0.0048283024397610536,0.13169326908826984,
score,-0.27467207890458567,0.10167863585234464,1.0,0.9937565698970732,0.03507579264429006,0.08579125095015669,0.0746358839619176,0.040407516565990044,0.08803289339976124,0.07225102219337579,0.03980802559960595,0.03920494740731227,0.028693242654164338,0.09039415548779575,0.04052442083922249,0.04590091587407807,-0.032787883899825065,0.0474666273167944,-0.002775621350628697,,0.002387699016726899,-0.05950048118346149,-0.2746720789045848,0.10167863585232984,0.06301713410042076,-0.07439875848403324,-0.14641967305265946,-0.019882759125577566,-0.11481389171273242,,,,,-0.01463681307124428,-0.009733532620282833,0.0746358839619176,-0.040407516565990044,,-0.019882759125577566,0.027004498077493215,0.9937565292167387,0.008613190953645324,0.0746358839619176,0.03328073831160812,0.032562425664585073,
msl,-0.2732146244590062,0.0034432347072797438,0.9937565698970732,1.0,0.024557680079961668,0.0740110501514094,0.05833340132628229,0.04940958416352268,0.08640436462931783,0.05512866343584441,0.04138126954798062,0.04835002172106348,0.024293124807670916,0.08894783101496101,0.040308565896064893,0.04513044490511911,-0.040631169100575175,0.04685950927025509,-0.0032534700860196424,,-0.0028593023630838713,-0.1118202237719879,-0.27321462445900296,0.003443234707264692,0.12026907105744554,-0.11652623357825591,-0.21656223634628044,-0.03290914702737971,-0.1683037895031666,,,,,-0.0011579229878707971,-0.007543880146945464,0.05833340132628229,-0.04940958416352268,,-0.03290914702737971,0.03694301289718778,0.9999999995984964,0.007707339944692527,0.05833340132628229,0.036530958246451896,0.0169827411708283,
msl_d1h,0.05791484170825937,-0.019162553636596552,0.03507579264429006,0.024557680079961668,1.0,0.8141184603264677,-0.05806766724823451,-0.02478222530901599,0.014203952902017519,-0.056816392934807856,-0.0009833738420032836,-0.03639866180185105,0.009946983010237522,0.007729377526516903,0.002142746219331202,0.018311324479389404,-0.05071192421467886,0.01423077899875755,0.01652450966731088,,-0.018342707982342624,0.02079150624248879,0.05791484170825143,-0.01916255363659025,0.05778050965528257,0.17370172972303297,0.001417515813506685,-0.05888217159963164,-0.25836116083305644,,,,,0.15842666078749126,0.10243570308448274,-0.05806766724823451,0.02478222530901599,,-0.05888217159963164,0.06291440697143177,0.024557730004445943,-0.020163027668196207,-0.05806766724823451,0.021273472445841875,-0.06539706793489311,
msl_d3h,0.141194935164344,-0.054478150139765785,0.08579125095015669,0.0740110501514094,0.8141184603264677,1.0,-0.06574315467935644,-0.005393923301325418,0.0011394769980811604,-0.07576419126974504,0.04757245382764703,-0.03066607329365135,0.06345488410594262,-0.0015848158720058992,0.060473853487927144,0.007100533569975854,-0.0574793058399116,0.008874372387211527,0.0028862321828610786,,-0.0017648811534120249,0.020341659964887338,0.14119493516433643,-0.05447815013975686,0.06906702571182803,0.18665849245985275,0.0036485724973731024,-0.07009269242350469,-0.23564551539418077,,,,,0.19382909591480904,0.12020404954022142,-0.06574315467935644,0.005393923301325418,,-0.07009269242350469,0.0736132782009595,0.07401145696796665,-0.028349833505967384,-0.06574315467935644,0.020371718707049086,-0.08050221182342229,
zeta,-0.1144564354246428,0.1401094710205853,0.0746358839619176,0.05833340132628229,-0.05806766724823451,-0.06574315467935644,1.0,0.1567325471211677,0.211878071456739,0.9661342126296151,-0.12984088597074914,0.18190669893373876,-0.0329579831016042,0.20002311138062595,-0.08664404555629665,-0.022916652604819975,0.23401024410805085,-0.02367765752493735,0.0489739992794047,,0.013721235399567749,0.10258269564846464,-0.11445643542465078,0.14010947102058569,-0.08016458795942555,-0.009502727755973744,0.1242035440881182,0.21093079937933248,0.10278596241450827,,,,,-0.06583222693086924,-0.07452323444185764,1.0,-0.1567325471211677,,0.21093079937933248,-0.25198343663054795,0.058333406633569236,0.2185110090881922,1.0,-0.14466214898819077,0.7413889753735368,
div,-0.0069581442703120795,-0.040484245339600995,0.040407516565990044,0.04940958416352268,-0.02478222530901599,-0.005393923301325418,0.1567325471211677,1.0,-0.053106993564935756,0.11335640589984035,-0.09637937351666033,0.9576764078895956,-0.06917885058195675,-0.06313900783209048,-0.06545717052172628,-0.20728862069747928,-0.027896984334361517,-0.20150026016567488,0.02804836389036891,,-0.01626513340550721,0.008143949326452397,-0.006958144270311787,-0.04048424533960112,0.02117402657738973,-0.05967310320321809,-0.06928049574341912,-0.07362824181998233,-0.16550986362976647,,,,,0.1013634718481156,0.023291260029042242,0.15673254712116763,-1.0,,-0.07362824181998233,0.0823464260233889,0.0494096740232463,0.18465195630381456,0.15673254712116763,-0.08572658613838154,0.10044875205057922,
S,-0.034341387090881303,0.007964584113420712,0.08803289339976124,0.08640436462931783,0.014203952902017519,0.0011394769980811604,0.211878071456739,-0.053106993564935756,1.0,0.2134394002555929,0.23567368596845828,-0.06609292296190238,0.2786235054420665,0.9614453825796289,0.2985982784223493,0.46474395370755806,-0.1934146542689382,0.4632427116168121,0.13895801031132438,,-0.01647233925796564,0.12734600197679238,-0.034341387090876155,0.007964584113419918,0.16437490617467912,-0.012921717592721163,-0.11491417722047213,-0.09939796435606833,-0.04468499419001669,,,,,0.1195208955389822,-0.010518460367436493,0.211878071456739,0.05310699356493573,,-0.09939796435606833,0.15008443198062107,0.08640426862793141,0.1891149299230657,0.211878071456739,0.2335349673011235,-0.040546286791518005,
zeta_mean3h,-0.12220390316003144,0.14896129750599288,0.07225102219337579,0.05512866343584441,-0.056816392934807856,-0.07576419126974504,0.9661342126296151,0.11335640589984035,0.2134394002555929,1.0,-0.14924465647048799,0.15321399657078355,-0.041190969888889255,0.21035212207270831,-0.09778921879102088,-0.014870572209622871,0.2211424189384871,-0.01953907874292812,0.01580276426878229,,-0.0067019033417458785,0.1100909660192818,-0.12220390316003776,0.14896129750599352,-0.07400922914165135,0.003159079716705123,0.12645073807683738,0.2001204502201991,0.11040587895906437,,,,,-0.06723238701379027,-0.0832555471152292,0.9661342126296155,-0.11335640589984035,,0.2001204502201991,-0.23816240460037996,0.05512862903773928,0.20899070668017905,0.9661342126296155,-0.13661037548632335,0.7078846654425734,
zeta_std3h,0.022027249483620486,-0.017701551450428576,0.03980802559960595,0.04138126954798062,-0.0009833738420032836,0.04757245382764703,-0.12984088597074914,-0.09637937351666033,0.23567368596845828,-0.14924465647048799,1.0,-0.11668672703632832,0.3535010749485075,0.24642063499744507,0.6007673553590731,0.17750834650866185,-0.05120087517522948,0.19103853138859167,0.0066411776932229155,,0.019785245799902058,0.0020963993190350728,0.022027249483626693,-0.017701551450432413,0.10693357281264904,-0.04708067573561693,-0.0840859476318751,-0.05938216060422095,-0.0007337919032901663,,,,,0.06308048784257651,-0.015197056763103605,-0.1298408859707492,0.09637937351666034,,-0.05938216060422095,0.05774766531005303,0.0413811659922581,-0.09347394164097701,-0.1298408859707492,0.03336316519542532,-0.19057505163087982,
div_mean3h,-0.010027007619392118,-0.039518717390550774,0.03920494740731227,0.04835002172106348,-0.03639866180185105,-0.03066607329365135,0.18190669893373876,0.9576764078895956,-0.06609292296190238,0.15321399657078355,-0.11668672703632832,1.0,-0.09591324042971563,-0.07154624275671838,-0.0854938819151115,-0.21034586881850403,-0.02426062810072785,-0.21412954184080213,0.011077431610161706,,-0.0015226400803240807,-0.0023677284715162977,-0.010027007619391773,-0.039518717390551135,0.0244974052455598,-0.06315626926494913,-0.0756043502899856,-0.06580463986540724,-0.16377501199355884,,,,,0.10061488017164422,0.02150159912179419,0.18190669893373873,-0.9576764078895956,,-0.06580463986540724,0.07609015636568531,0.04835011937947556,0.1830070010519586,0.18190669893373873,-0.0840275501561882,0.12862302132955952,
div_std3h,0.04029078269107104,0.03349056602820816,0.028693242654164338,0.024293124807670916,0.009946983010237522,0.06345488410594262,-0.0329579831016042,-0.06917885058195675,0.2786235054420665,-0.041190969888889255,0.3535010749485075,-0.09591324042971563,1.0,0.2966989766715231,0.7003344482431547,0.18520708130133046,-0.12135014631971289,0.19921035338963747,0.0051873091639122685,,-0.0299942868217244,0.07872157902012858,0.04029078269107815,0.03349056602820383,0.08082972580697513,-0.03620474033711083,-0.05016597170722151,-0.11169407770368817,0.016681614474997074,,,,,0.06821956023738449,-0.02497517280333415,-0.03295798310160418,0.06917885058195676,,-0.11169407770368817,0.13280331034984658,0.024292943605799578,-0.05299286919736068,-0.03295798310160418,0.07510022236696197,-0.12040102039961746,
S_mean3h,-0.03312698149624121,0.003902837511252381,0.09039415548779575,0.08894783101496101,0.007729377526516903,-0.0015848158720058992,0.20002311138062595,-0.06313900783209048,0.9614453825796289,0.21035212207270831,0.24642063499744507,-0.07154624275671838,0.2966989766715231,1.0,0.3279900392074522,0.4664520557168579,-0.1723353920581524,0.48047025343128164,-0.11616885036655268,,0.0051489487666540445,0.1260015744361424,-0.03312698149623563,0.003902837511252174,0.17419047266982338,-0.014178457380547562,-0.12229265495294146,-0.08415694536156153,-0.04665704282913121,,,,,0.12481864120505141,-0.009079201557042093,0.2000231113806259,0.06313900783209048,,-0.08415694536156153,0.12967782682540227,0.08894773135562717,0.13857539573913524,0.2000231113806259,0.21666532962120685,-0.046628127844252236,
S_std3h,0.050218317997415565,-0.006638771371522117,0.04052442083922249,0.040308565896064893,0.002142746219331202,0.060473853487927144,-0.08664404555629665,-0.06545717052172628,0.2985982784223493,-0.09778921879102088,0.6007673553590731,-0.0854938819151115,0.7003344482431547,0.3279900392074522,1.0,0.19697605078632613,-0.17458049047698182,0.21482848294286092,-0.0701075552079702,,0.01954050539457294,0.05594009550235799,0.050218317997422046,-0.006638771371526042,0.13377093673471582,-0.032437795242245375,-0.10345118499082144,-0.14874505249996334,-0.013309790363850365,,,,,0.09395128798859753,-0.017261705313732518,-0.08664404555629665,0.06545717052172624,,-0.14874505249996334,0.1826500879500767,0.040308434492280526,-0.06403546590367562,-0.08664404555629665,0.1237110661437783,-0.1781397050374539,
shear10_def,-0.020613797067361415,0.0037857757844158044,0.04590091587407807,0.04513044490511911,0.018311324479389404,0.007100533569975854,-0.022916652604819975,-0.20728862069747928,0.46474395370755806,-0.014870572209622871,0.17750834650866185,-0.21034586881850403,0.18520708130133046,0.4664520557168579,0.19697605078632613,1.0,-0.1308395973868981,0.9819585646561583,0.01249569394354358,,-0.005024110021044289,0.049862206946040925,-0.02061379706735897,0.0037857757844168578,0.09359505469682056,-0.05256740702274545,-0.06671411774729032,-0.07620345009893288,-0.010661765260673759,,,,,0.06203294628492678,0.02167664794064274,-0.022916652604820013,0.20728862069747925,,-0.07620345009893288,0.10797877826649303,0.04513044330558059,-0.2806819209433731,-0.022916652604820013,0.14531790030165911,-0.1317008327688347,
shear_proxy,-0.15570446433706522,0.03673436718242097,-0.032787883899825065,-0.040631169100575175,-0.05071192421467886,-0.0574793058399116,0.23401024410805085,-0.027896984334361517,-0.1934146542689382,0.2211424189384871,-0.05120087517522948,-0.02426062810072785,-0.12135014631971289,-0.1723353920581524,-0.17458049047698182,-0.1308395973868981,1.0,-0.12478959550648179,-0.0724430785793003,,0.11262200070530408,-0.09519248828268322,-0.1557044643370738,0.036734367182425856,-0.1315693679876008,-0.00796806177342151,0.1541759499731284,0.6854435175468018,0.1724156140051552,,,,,-0.15808522782499942,-0.014847749564731762,0.2340102441080509,0.02789698433436153,,0.6854435175468018,-0.9426251609424968,-0.040631033401132756,0.04389577844940456,0.2340102441080509,-0.8314432869237073,0.29491410138359353,
S3,-0.017647374951910835,0.0006413618005503497,0.0474666273167944,0.04685950927025509,0.01423077899875755,0.008874372387211527,-0.02367765752493735,-0.20150026016567488,0.4632427116168121,-0.01953907874292812,0.19103853138859167,-0.21412954184080213,0.19921035338963747,0.48047025343128164,0.21482848294286092,0.9819585646561583,-0.12478959550648179,1.0,-0.036879914958725474,,-0.000484926771883123,0.04981976934460852,-0.017647374951907754,0.0006413618005516511,0.09668404761526067,-0.05416285373062371,-0.06807267205531185,-0.07330310207962695,-0.011248736507437844,,,,,0.06504407410079419,0.02279073955604865,-0.02367765752493733,0.20150026016567488,,-0.07330310207962695,0.10275908039646413,0.04685951786425669,-0.2967364037777056,-0.02367765752493733,0.13971851290776277,-0.13290346987765722,
dS_dt,-0.006206262757217256,0.012620174925897194,-0.002775621350628697,-0.0032534700860196424,0.01652450966731088,0.0028862321828610786,0.0489739992794047,0.02804836389036891,0.13895801031132438,0.01580276426878229,0.0066411776932229155,0.011077431610161706,0.0051873091639122685,-0.11616885036655268,-0.0701075552079702,0.01249569394354358,-0.0724430785793003,-0.036879914958725474,1.0,,-0.10415859581364457,0.01122202295468681,-0.006206262757217654,0.012620174925897443,-0.020403393649772426,0.001914162340203592,0.01639655077146952,-0.05251486458710132,0.005033670613453608,,,,,-0.009627280899052354,-0.005274599245801105,0.04897399927940472,-0.028048363890368903,,-0.05251486458710132,0.06962024154129319,-0.0032534408063193657,0.14924093269704344,0.04897399927940472,0.05816188853285704,0.020137749049149372,
drelax_dt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dagree_dt,0.015874013703109906,-0.008368237189070806,0.002387699016726899,-0.0028593023630838713,-0.018342707982342624,-0.0017648811534120249,0.013721235399567749,-0.01626513340550721,-0.01647233925796564,-0.0067019033417458785,0.019785245799902058,-0.0015226400803240807,-0.0299942868217244,0.0051489487666540445,0.01954050539457294,-0.005024110021044289,0.11262200070530408,-0.000484926771883123,-0.10415859581364457,,1.0,-0.00874145656026342,0.015874013703109462,-0.008368237189070624,0.0011305648118701565,-0.0068149306198342875,-0.005313882495844943,0.4213828132007402,-0.0001248973714357972,,,,,0.0025852558848980444,0.0033990372976448325,0.013721235399567754,0.016265133405507202,,0.4213828132007402,-0.1540746935303267,-0.002859294030790372,-0.013875120815200625,0.013721235399567754,-0.038382830906978214,0.04701146518649617,
msl_grad,0.10269315502682175,0.4231611832753553,-0.05950048118346149,-0.1118202237719879,0.02079150624248879,0.020341659964887338,0.10258269564846464,0.008143949326452397,0.12734600197679238,0.1100909660192818,0.0020963993190350728,-0.0023677284715162977,0.07872157902012858,0.1260015744361424,0.05594009550235799,0.049862206946040925,-0.09519248828268322,0.04981976934460852,0.01122202295468681,,-0.00874145656026342,1.0,0.1026931550268301,0.4231611832753571,-0.2612753534479003,0.2269363797224815,0.33359593381320035,-0.05936711089213298,0.06514251995344024,,,,,0.17841325761560808,-0.07049020786073008,0.10258269564846464,-0.0081439493264524,,-0.05936711089213298,0.09207142025876076,-0.11182043928113605,0.009392915747295305,0.10258269564846464,0.0820680037810521,-0.003528152109091499,
